"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Player Controller","Create Player","Positive: Create player with editor","1","0","1","0","0"
"Player Controller","Delete Player","Positive: Delete player by editor","0","0","2","0","0"
"Player Controller","Create Player","BUG: Invalid password accepted on create","2","0","0","0","0"
"Player Controller","Create Player","BUG: Duplicate screenName creates new player","0","0","1","0","0"
"Player Controller","Get Player","BUG: Password returned in GET response","1","0","0","0","0"
"Player Controller","Update Player","Positive: Update player gender","0","0","1","0","0"
"Player Controller","Get All Players","Positive: Created player appears in list","0","0","1","0","0"
"Player Controller","Update Player","Positive: Update player password","0","0","1","0","0"
"Player Controller","Update Player","Positive: Update player age","0","0","1","0","0"
"Player Controller","Create Player","BUG: Duplicate login returns existing player","1","0","0","0","0"
"Player Controller","Get All Players","Positive: Deleted player disappears from list","0","0","1","0","0"
"Player Controller","Update Player","BUG: Update password to invalid format","1","0","0","0","0"
"Player Controller","Update Player","Positive: Update player screenName","0","0","1","0","0"
"Player Controller","Get Player","Negative: Get player with non-existing ID","0","0","1","0","0"
"Player Controller","Delete Player","BUG: Delete player with user role editor succeeds","1","0","0","0","0"
"Player Controller","Update Player","BUG: Update screenName to existing one","1","0","0","0","0"
